Date,TimeOfDay,Spot,BuyTrader,SellTrader
03/01/2022,10:22:45,99.35,2,0
03/01/2022,10:23:45,99.33,1,5
03/01/2022,10:24:16,99.3,2,0
03/01/2022,10:26:24,99.38,0,5
03/01/2022,10:29:50,99.35,0,4
03/01/2022,10:30:55,99.44,0,4
03/01/2022,10:31:22,99.4,2,4
03/01/2022,10:31:52,99.44,0,4
03/01/2022,10:32:41,99.46,3,0
03/01/2022,10:34:00,99.43,0,4
03/01/2022,10:34:25,99.43,0,4
03/01/2022,10:34:37,99.45,5,0
03/01/2022,10:35:45,99.48,5,4
03/01/2022,10:36:06,99.52,5,0
03/01/2022,10:37:22,99.47,2,0
03/01/2022,10:38:18,99.46,2,4
03/01/2022,10:38:59,99.42,5,0
03/01/2022,10:40:32,99.36,0,5
03/01/2022,10:41:38,99.32,5,4
03/01/2022,10:41:47,99.32,2,0
03/01/2022,10:44:49,99.35,0,4
03/01/2022,10:45:58,99.37,0,4
03/01/2022,10:46:45,99.36,2,5
03/01/2022,10:46:47,99.36,5,4
03/01/2022,10:47:26,99.34,4,0
03/01/2022,10:48:33,99.38,0,4
03/01/2022,10:49:35,99.36,2,0
03/01/2022,10:49:36,99.36,2,0
03/01/2022,10:50:16,99.37,0,5
03/01/2022,10:50:37,99.39,3,0
03/01/2022,10:50:41,99.39,0,4
03/01/2022,10:51:31,99.37,0,5
03/01/2022,10:52:18,99.31,0,4
03/01/2022,10:52:24,99.33,2,0
03/01/2022,10:54:07,99.33,2,0
03/01/2022,10:54:49,99.3,0,4
03/01/2022,10:55:36,99.35,2,5
03/01/2022,10:56:07,99.38,0,5
03/01/2022,10:56:13,99.38,3,4
03/01/2022,10:56:32,99.38,2,0
03/01/2022,10:56:54,99.36,0,2
03/01/2022,10:57:31,99.28,0,4
03/01/2022,10:59:26,99.32,2,5
03/01/2022,11:00:22,99.28,2,0
03/01/2022,11:00:34,99.25,2,0
03/01/2022,11:01:09,99.28,2,0
03/01/2022,11:02:38,99.27,4,5
03/01/2022,11:02:56,99.3,2,0
03/01/2022,11:03:17,99.33,1,0
03/01/2022,11:07:18,99.25,1,0
03/01/2022,11:07:27,99.25,1,0
03/01/2022,11:08:08,99.24,4,0
03/01/2022,11:08:30,99.28,0,5
03/01/2022,11:08:49,99.29,4,5
03/01/2022,11:09:41,99.26,0,5
03/01/2022,11:09:55,99.21,4,5
03/01/2022,11:10:17,99.21,0,4
03/01/2022,11:10:37,99.22,0,5
03/01/2022,11:10:47,99.21,0,4
03/01/2022,11:10:58,99.2,3,0
03/01/2022,11:11:14,99.2,2,0
03/01/2022,11:11:40,99.18,3,0
03/01/2022,11:11:50,99.17,0,4
03/01/2022,11:11:54,99.16,2,0
03/01/2022,11:12:27,99.15,4,0
03/01/2022,11:12:34,99.15,3,0
03/01/2022,11:15:27,99.2,0,4
03/01/2022,11:16:20,99.16,0,4
03/01/2022,11:16:34,99.15,0,4
03/01/2022,11:16:35,99.15,1,0
03/01/2022,11:17:46,99.22,0,2
03/01/2022,11:17:47,99.21,0,4
03/01/2022,11:17:56,99.21,0,4
03/01/2022,11:19:21,99.22,5,2
03/01/2022,11:19:28,99.22,0,4
03/01/2022,11:20:17,99.21,5,0
03/01/2022,11:23:47,99.23,1,0
03/01/2022,11:24:01,99.25,0,2
03/01/2022,11:24:46,99.23,0,4
03/01/2022,11:25:42,99.19,0,4
03/01/2022,11:26:02,99.22,0,4
03/01/2022,11:28:46,99.09,1,2
03/01/2022,11:28:57,99.12,0,4
03/01/2022,11:29:18,99.14,3,0
03/01/2022,11:30:22,99.05,0,2
03/01/2022,11:30:33,99.01,0,5
03/01/2022,11:30:52,99.01,0,2
03/01/2022,11:31:32,99.03,0,4
03/01/2022,11:32:22,99.01,0,4
03/01/2022,11:33:28,98.98,0,5
03/01/2022,11:33:50,98.98,0,4
03/01/2022,11:35:16,99.01,0,4
03/01/2022,11:35:35,99.02,3,4
03/01/2022,11:35:37,99.03,0,4
03/01/2022,11:37:01,99.07,0,4
03/01/2022,11:37:28,99.1,5,0
03/01/2022,11:37:33,99.11,5,0
03/01/2022,11:39:01,98.98,1,0
03/01/2022,11:39:50,98.95,0,4
03/01/2022,11:40:04,98.97,1,2
03/01/2022,11:40:23,98.98,3,0
03/01/2022,11:41:10,98.95,0,1
03/01/2022,11:43:25,98.75,4,0
03/01/2022,11:45:04,98.77,4,5
03/01/2022,11:45:32,98.75,4,0
03/01/2022,11:45:42,98.72,4,0
03/01/2022,11:46:15,98.67,4,0
03/01/2022,11:46:25,98.7,4,0
03/01/2022,11:46:47,98.69,0,2
03/01/2022,11:46:57,98.69,4,2
03/01/2022,11:47:49,98.66,0,5
03/01/2022,11:49:10,98.6,4,0
03/01/2022,11:49:28,98.6,1,0
03/01/2022,11:50:03,98.59,4,0
03/01/2022,11:50:37,98.57,3,2
03/01/2022,11:51:44,98.61,0,5
03/01/2022,11:52:11,98.68,0,2
03/01/2022,11:52:40,98.68,0,5
03/01/2022,11:52:48,98.68,0,2
03/01/2022,11:53:47,98.67,3,4
03/01/2022,11:54:05,98.64,3,4
03/01/2022,11:54:08,98.66,0,4
03/01/2022,11:54:33,98.65,4,2
03/01/2022,11:55:21,98.66,0,2
03/01/2022,11:57:39,98.6,3,0
03/01/2022,11:58:04,98.55,1,5
03/01/2022,11:58:11,98.54,5,2
03/01/2022,11:59:22,98.5,0,4
03/01/2022,11:59:59,98.51,4,0
03/01/2022,12:00:28,98.48,4,2
03/01/2022,12:00:36,98.47,4,0
03/01/2022,12:00:48,98.42,5,0
03/01/2022,12:02:09,98.47,0,2
03/01/2022,12:02:17,98.47,1,0
03/01/2022,12:02:38,98.46,5,2
03/01/2022,12:05:05,98.42,0,4
03/01/2022,12:05:10,98.43,1,4
03/01/2022,12:06:05,98.47,3,2
03/01/2022,12:07:35,98.48,1,0
03/01/2022,12:08:39,98.53,0,2
03/01/2022,12:08:46,98.51,5,0
03/01/2022,12:10:02,98.46,1,2
03/01/2022,12:12:58,98.39,0,4
03/01/2022,12:13:02,98.41,0,5
03/01/2022,12:13:09,98.41,2,0
03/01/2022,12:13:16,98.4,1,4
03/01/2022,12:13:32,98.4,0,5
03/01/2022,12:13:37,98.37,0,5
03/01/2022,12:14:15,98.35,5,4
03/01/2022,12:15:21,98.4,5,0
03/01/2022,12:16:32,98.46,5,0
03/01/2022,12:16:34,98.46,0,4
03/01/2022,12:18:44,98.47,2,0
03/01/2022,12:18:57,98.49,5,0
03/01/2022,12:19:05,98.48,2,0
03/01/2022,12:19:55,98.47,0,4
03/01/2022,12:20:45,98.42,2,0
03/01/2022,12:21:41,98.44,0,4
03/01/2022,12:22:22,98.48,2,5
03/01/2022,12:22:46,98.5,1,0
03/01/2022,12:22:47,98.51,1,0
03/01/2022,12:23:08,98.49,0,4
03/01/2022,12:23:36,98.52,0,4
03/01/2022,12:23:44,98.53,2,0
03/01/2022,12:24:13,98.53,5,4
03/01/2022,12:24:31,98.53,0,4
03/01/2022,12:24:48,98.54,1,0
03/01/2022,12:25:07,98.55,5,0
03/01/2022,12:26:17,98.64,2,0
03/01/2022,12:26:57,98.66,0,4
03/01/2022,12:27:22,98.65,2,0
03/01/2022,12:28:05,98.64,3,0
03/01/2022,12:28:56,98.62,3,4
03/01/2022,12:30:24,98.59,0,4
03/01/2022,12:30:25,98.59,0,2
03/01/2022,12:31:03,98.58,0,4
03/01/2022,12:32:17,98.52,3,4
03/01/2022,12:32:26,98.52,0,5
03/01/2022,12:32:29,98.51,3,0
03/01/2022,12:34:33,98.52,4,5
03/01/2022,12:34:53,98.53,0,4
03/01/2022,12:39:00,98.44,2,0
03/01/2022,12:39:28,98.45,0,5
03/01/2022,12:39:33,98.43,3,0
03/01/2022,12:39:35,98.43,0,1
03/01/2022,12:43:38,98.25,4,0
03/01/2022,12:45:05,98.24,5,0
03/01/2022,12:49:46,98.33,0,1
03/01/2022,12:50:05,98.36,4,0
03/01/2022,12:50:07,98.36,5,0
03/01/2022,12:50:35,98.37,2,0
03/01/2022,12:51:17,98.34,4,0
03/01/2022,12:51:34,98.36,2,0
03/01/2022,12:51:48,98.36,4,0
03/01/2022,12:53:45,98.29,4,0
03/01/2022,12:54:35,98.3,5,0
03/01/2022,12:55:10,98.29,1,0
03/01/2022,12:55:36,98.29,1,0
03/01/2022,12:57:04,98.3,0,4
03/01/2022,12:57:59,98.26,1,2
03/01/2022,12:59:20,98.27,1,0
03/01/2022,12:59:21,98.28,5,4
03/01/2022,12:59:31,98.27,1,0
03/01/2022,12:59:48,98.22,1,0
03/01/2022,13:00:10,98.23,0,2
03/01/2022,13:00:27,98.22,3,4
03/01/2022,13:02:15,98.29,5,0
03/01/2022,13:04:35,98.25,0,4
03/01/2022,13:05:42,98.34,0,4
03/01/2022,13:05:48,98.36,0,4
03/01/2022,13:06:22,98.39,0,2
03/01/2022,13:06:23,98.39,0,2
03/01/2022,13:06:48,98.37,3,5
03/01/2022,13:06:50,98.38,0,2
03/01/2022,13:06:58,98.37,0,2
03/01/2022,13:07:09,98.36,0,2
03/01/2022,13:07:39,98.38,3,0
03/01/2022,13:07:41,98.37,0,2
03/01/2022,13:08:38,98.34,0,4
03/01/2022,13:10:14,98.31,0,5
03/01/2022,13:11:30,98.3,0,2
03/01/2022,13:11:52,98.27,0,4
03/01/2022,13:12:02,98.24,4,1
03/01/2022,13:12:05,98.25,4,0
03/01/2022,13:12:16,98.22,0,2
03/01/2022,13:13:50,98.21,0,4
03/01/2022,13:14:07,98.23,3,0
03/01/2022,13:14:32,98.24,4,0
03/01/2022,13:14:35,98.25,4,0
03/01/2022,13:14:58,98.27,4,0
03/01/2022,13:18:42,98.29,0,2
03/01/2022,13:18:45,98.31,0,4
03/01/2022,13:19:23,98.37,5,4
03/01/2022,13:20:10,98.37,5,0
03/01/2022,13:20:14,98.37,3,2
03/01/2022,13:20:28,98.34,0,4
03/01/2022,13:21:10,98.35,5,0
03/01/2022,13:22:53,98.38,4,0
03/01/2022,13:23:11,98.35,4,0
03/01/2022,13:25:06,98.41,2,0
03/01/2022,13:26:57,98.37,1,0
03/01/2022,13:29:04,98.4,5,0
03/01/2022,13:30:00,98.38,4,0
03/01/2022,13:31:40,98.34,4,0
03/01/2022,13:31:47,98.32,2,0
03/01/2022,13:32:01,98.31,2,0
03/01/2022,13:36:08,98.42,4,0
03/01/2022,13:36:30,98.42,0,5
03/01/2022,13:36:32,98.43,2,0
03/01/2022,13:37:16,98.42,2,5
03/01/2022,13:37:35,98.43,1,0
03/01/2022,13:39:52,98.54,2,0
03/01/2022,13:40:24,98.61,5,0
03/01/2022,13:42:05,98.61,4,0
03/01/2022,13:43:34,98.64,0,5
03/01/2022,13:44:27,98.65,0,4
03/01/2022,13:45:46,98.72,2,4
03/01/2022,13:47:53,98.75,0,4
03/01/2022,13:48:07,98.74,0,4
03/01/2022,13:49:41,98.66,3,0
03/01/2022,13:50:03,98.66,0,4
03/01/2022,13:50:49,98.68,2,0
03/01/2022,13:51:14,98.69,2,0
03/01/2022,13:51:47,98.68,0,4
03/01/2022,13:52:59,98.66,2,4
03/01/2022,13:53:45,98.67,0,4
03/01/2022,13:55:29,98.7,0,4
03/01/2022,13:55:50,98.69,5,0
03/01/2022,13:57:09,98.76,3,0
03/01/2022,13:57:49,98.7,3,0
03/01/2022,13:58:14,98.72,2,0
03/01/2022,13:58:25,98.73,0,4
03/01/2022,13:58:26,98.72,5,0
03/01/2022,13:59:44,98.72,2,4
03/01/2022,14:00:06,98.7,3,0
03/01/2022,14:00:33,98.72,0,4
03/01/2022,14:00:46,98.73,2,0
03/01/2022,14:00:53,98.73,0,4
03/01/2022,14:01:12,98.73,0,4
03/01/2022,14:01:25,98.74,2,4
03/01/2022,14:01:47,98.71,0,4
03/01/2022,14:01:50,98.72,3,4
03/01/2022,14:01:57,98.69,3,0
03/01/2022,14:03:09,98.67,0,4
03/01/2022,14:03:37,98.66,2,4
03/01/2022,14:03:42,98.66,0,4
03/01/2022,14:03:52,98.67,0,5
03/01/2022,14:04:59,98.76,0,5
03/01/2022,14:05:15,98.79,2,0
03/01/2022,14:05:34,98.76,2,5
03/01/2022,14:05:52,98.73,0,5
03/01/2022,14:06:08,98.73,0,4
03/01/2022,14:06:14,98.72,0,4
03/01/2022,14:07:16,98.68,2,4
03/01/2022,14:07:22,98.68,2,0
03/01/2022,14:07:34,98.65,0,4
03/01/2022,14:07:47,98.68,0,5
03/01/2022,14:07:54,98.69,3,4
03/01/2022,14:07:57,98.69,0,4
03/01/2022,14:08:00,98.7,0,1
03/01/2022,14:09:16,98.62,0,5
03/01/2022,14:09:22,98.61,0,5
03/01/2022,14:11:05,98.72,1,5
03/01/2022,14:12:22,98.69,1,0
03/01/2022,14:13:29,98.71,0,4
03/01/2022,14:13:43,98.71,2,5
03/01/2022,14:14:39,98.67,3,4
03/01/2022,14:18:41,98.65,1,0
03/01/2022,14:20:36,98.57,0,4
03/01/2022,14:25:11,98.58,5,0
03/01/2022,14:25:19,98.58,5,0
03/01/2022,14:25:23,98.57,5,2
03/01/2022,14:26:00,98.57,4,0
03/01/2022,14:26:21,98.6,0,5
03/01/2022,14:26:42,98.55,0,2
03/01/2022,14:27:42,98.52,4,0
03/01/2022,14:29:34,98.5,3,5
03/01/2022,14:31:27,98.45,0,2
03/01/2022,14:32:21,98.49,2,0
03/01/2022,14:32:57,98.41,2,0
03/01/2022,14:33:59,98.4,0,4
03/01/2022,14:36:01,98.28,5,0
03/01/2022,14:37:34,98.33,4,0
03/01/2022,14:37:50,98.33,2,0
03/01/2022,14:39:50,98.21,0,1
03/01/2022,14:39:59,98.19,5,0
03/01/2022,14:43:03,98.18,4,0
03/01/2022,14:45:43,98.21,5,0
03/01/2022,14:46:29,98.14,4,0
03/01/2022,14:47:20,98.16,3,0
03/01/2022,14:49:05,98.16,4,0
03/01/2022,14:51:10,98.23,4,0
03/01/2022,14:51:25,98.21,5,0
03/01/2022,14:54:40,98.12,5,0
03/01/2022,14:58:11,98.14,4,0
03/01/2022,14:58:49,98.12,4,0
03/01/2022,14:59:14,98.15,4,0
03/01/2022,14:59:29,98.15,4,0
03/01/2022,15:01:21,98.07,4,1
03/01/2022,15:02:39,98.01,3,2
03/01/2022,15:04:38,98.06,0,2
03/01/2022,15:07:48,98.06,0,2
03/01/2022,15:11:00,98.06,0,2
03/01/2022,15:11:13,98.04,0,1
03/01/2022,15:11:56,98.07,4,2
03/01/2022,15:12:23,98.08,0,1
03/01/2022,15:12:24,98.08,4,1
03/01/2022,15:13:20,98.06,0,2
03/01/2022,15:13:29,98.08,0,2
03/01/2022,15:14:18,98.13,0,1
03/01/2022,15:15:21,98.18,4,0
03/01/2022,15:16:50,98.14,0,1
03/01/2022,15:17:07,98.13,4,0
03/01/2022,15:17:13,98.13,4,0
03/01/2022,15:19:42,98.2,4,0
03/01/2022,15:20:37,98.15,4,0
03/01/2022,15:21:25,98.16,0,1
03/01/2022,15:21:41,98.13,4,0
03/01/2022,15:22:02,98.08,3,0
03/01/2022,15:22:26,98.07,4,0
03/01/2022,15:22:27,98.07,4,0
03/01/2022,15:22:40,98.06,4,0
03/01/2022,15:22:58,98.07,0,1
03/01/2022,15:23:52,98.09,4,0
03/01/2022,15:24:05,98.09,4,0
03/01/2022,15:24:08,98.09,0,1
03/01/2022,15:24:47,98.11,4,0
03/01/2022,15:25:55,98.12,4,0
03/01/2022,15:26:05,98.14,4,0
03/01/2022,15:26:25,98.15,4,0
03/01/2022,15:28:35,98.15,4,0
03/01/2022,15:29:12,98.14,0,1
03/01/2022,15:30:13,98.11,4,0
03/01/2022,15:30:39,98.14,4,0
03/01/2022,15:30:58,98.12,4,0
03/01/2022,15:31:40,98.11,4,0
03/01/2022,15:32:18,98.14,0,1
03/01/2022,15:32:21,98.13,4,0
03/01/2022,15:34:16,98.06,0,2
03/01/2022,15:34:41,98.07,0,1
03/01/2022,15:35:23,98.05,5,0
03/01/2022,15:35:38,98.09,0,1
03/01/2022,15:36:13,98.14,4,0
03/01/2022,15:36:24,98.14,0,2
03/01/2022,15:37:12,98.12,4,0
03/01/2022,15:37:30,98.14,4,0
03/01/2022,15:37:38,98.15,0,1
03/01/2022,15:38:05,98.19,4,0
03/01/2022,15:38:46,98.13,4,0
03/01/2022,15:38:56,98.13,3,0
03/01/2022,15:38:59,98.11,0,1
03/01/2022,15:39:16,98.14,0,1
03/01/2022,15:40:26,98.1,0,1
03/01/2022,15:40:36,98.07,4,0
03/01/2022,15:40:40,98.03,4,0
03/01/2022,15:40:59,98.02,0,2
03/01/2022,15:42:06,98.04,4,0
03/01/2022,15:42:54,98.05,0,1
03/01/2022,15:43:11,98.05,4,0
03/01/2022,15:44:38,97.98,4,0
03/01/2022,15:46:02,97.96,4,0
03/01/2022,15:46:25,97.99,4,0
03/01/2022,15:47:02,97.99,4,1
03/01/2022,15:47:17,97.98,4,0
03/01/2022,15:48:33,97.93,4,0
03/01/2022,15:49:12,97.92,4,0
03/01/2022,15:49:50,97.95,4,0
03/01/2022,15:49:55,97.96,0,2
03/01/2022,15:50:10,97.96,0,2
03/01/2022,15:50:54,98.03,4,1
03/01/2022,15:51:26,98.06,0,1
03/01/2022,15:51:38,98.07,0,1
03/01/2022,15:52:37,98.09,4,0
03/01/2022,15:53:12,98.11,4,0
03/01/2022,15:53:32,98.14,4,0
03/01/2022,15:54:22,98.16,4,0
03/01/2022,15:54:33,98.12,4,0
03/01/2022,15:54:36,98.13,4,0
03/01/2022,15:55:35,98.14,4,0
03/01/2022,15:58:14,98.07,4,0
03/01/2022,15:58:26,98.06,4,0
04/01/2022,09:31:48,98.65,1,0
04/01/2022,09:34:43,98.62,2,0
04/01/2022,09:35:03,98.64,3,0
04/01/2022,09:35:21,98.64,2,0
04/01/2022,09:35:42,98.62,0,5
04/01/2022,09:36:59,98.59,0,4
04/01/2022,09:38:53,98.55,2,0
04/01/2022,09:41:34,98.59,0,2
04/01/2022,09:41:39,98.59,0,4
04/01/2022,09:42:22,98.64,0,4
04/01/2022,09:44:11,98.72,0,4
04/01/2022,09:44:59,98.76,3,4
04/01/2022,09:45:17,98.76,3,2
04/01/2022,09:46:22,98.79,0,4
04/01/2022,09:46:27,98.79,0,2
04/01/2022,09:47:51,98.8,3,0
04/01/2022,09:48:27,98.78,4,0
04/01/2022,09:48:38,98.76,0,2
04/01/2022,09:48:55,98.76,0,1
04/01/2022,09:51:27,98.75,0,1
04/01/2022,09:51:33,98.74,0,1
04/01/2022,09:52:05,98.74,4,0
04/01/2022,09:52:39,98.75,0,5
04/01/2022,09:53:30,98.71,4,0
04/01/2022,09:53:32,98.72,0,5
04/01/2022,09:54:11,98.69,4,0
04/01/2022,09:54:39,98.69,0,2
04/01/2022,09:56:30,98.64,0,5
04/01/2022,09:56:48,98.61,4,0
04/01/2022,09:57:38,98.57,4,5
04/01/2022,09:59:10,98.57,0,2
04/01/2022,09:59:26,98.58,0,2
04/01/2022,09:59:40,98.58,3,0
04/01/2022,10:00:58,98.5,4,0
04/01/2022,10:05:21,98.56,0,5
04/01/2022,10:05:52,98.56,0,1
04/01/2022,10:06:34,98.59,0,1
04/01/2022,10:06:45,98.63,4,0
04/01/2022,10:07:10,98.62,2,0
04/01/2022,10:07:26,98.68,2,0
04/01/2022,10:08:23,98.64,0,4
04/01/2022,10:09:06,98.63,5,0
04/01/2022,10:10:10,98.64,2,0
04/01/2022,10:10:34,98.61,0,4
04/01/2022,10:11:43,98.7,0,4
04/01/2022,10:12:43,98.7,2,0
04/01/2022,10:14:38,98.76,0,4
04/01/2022,10:15:04,98.76,5,4
04/01/2022,10:15:29,98.78,5,4
04/01/2022,10:15:55,98.75,0,2
04/01/2022,10:16:28,98.72,0,4
04/01/2022,10:17:21,98.68,0,2
04/01/2022,10:17:29,98.71,0,2
04/01/2022,10:19:24,98.73,0,2
04/01/2022,10:20:12,98.74,0,1
04/01/2022,10:22:13,98.71,0,1
04/01/2022,10:22:28,98.71,0,4
04/01/2022,10:22:49,98.71,3,4
04/01/2022,10:27:46,98.49,0,2
04/01/2022,10:27:50,98.49,0,5
04/01/2022,10:29:14,98.45,4,5
04/01/2022,10:31:50,98.37,0,5
04/01/2022,10:32:13,98.36,0,5
04/01/2022,10:32:54,98.36,4,5
04/01/2022,10:34:11,98.42,0,2
04/01/2022,10:34:15,98.42,3,0
04/01/2022,10:34:27,98.41,4,0
04/01/2022,10:35:15,98.44,4,5
04/01/2022,10:35:32,98.44,0,1
04/01/2022,10:35:53,98.48,0,2
04/01/2022,10:36:54,98.52,0,2
04/01/2022,10:36:56,98.53,0,5
04/01/2022,10:37:00,98.52,4,0
04/01/2022,10:37:03,98.51,0,1
04/01/2022,10:37:20,98.49,4,0
04/01/2022,10:37:40,98.55,0,2
04/01/2022,10:38:06,98.53,3,5
04/01/2022,10:38:18,98.53,4,1
04/01/2022,10:38:28,98.54,4,0
04/01/2022,10:38:30,98.53,3,0
04/01/2022,10:38:49,98.5,3,0
04/01/2022,10:39:59,98.5,0,2
04/01/2022,10:40:19,98.5,0,2
04/01/2022,10:40:50,98.54,3,0
04/01/2022,10:41:18,98.55,0,4
04/01/2022,10:46:16,98.43,0,4
04/01/2022,10:46:34,98.41,3,0
04/01/2022,10:47:10,98.4,0,2
04/01/2022,10:48:07,98.34,0,2
04/01/2022,10:48:30,98.27,3,0
04/01/2022,10:50:52,98.2,0,5
04/01/2022,10:51:08,98.19,3,0
04/01/2022,10:53:10,98.19,2,1
04/01/2022,10:54:05,98.25,2,0
04/01/2022,10:54:45,98.24,0,4
04/01/2022,10:55:19,98.21,0,1
04/01/2022,10:55:21,98.22,0,4
04/01/2022,10:55:28,98.23,3,0
04/01/2022,10:55:46,98.25,0,5
04/01/2022,10:56:12,98.26,3,0
04/01/2022,10:56:13,98.26,3,5
04/01/2022,10:57:45,98.22,3,4
04/01/2022,10:58:23,98.25,0,5
04/01/2022,10:59:42,98.24,0,1
04/01/2022,11:00:34,98.26,0,5
04/01/2022,11:01:03,98.23,0,4
04/01/2022,11:02:19,98.23,0,1
04/01/2022,11:02:26,98.23,0,2
04/01/2022,11:03:34,98.2,0,5
04/01/2022,11:05:02,98.19,0,5
04/01/2022,11:06:17,98.08,0,4
04/01/2022,11:06:47,98.11,3,0
04/01/2022,11:07:54,98.07,0,2
04/01/2022,11:08:58,98.05,0,4
04/01/2022,11:08:59,98.06,5,2
04/01/2022,11:09:09,98.04,1,4
04/01/2022,11:11:12,98,0,2
04/01/2022,11:11:15,98.01,0,2
04/01/2022,11:11:43,97.96,0,2
04/01/2022,11:12:27,97.92,2,0
04/01/2022,11:12:41,97.94,2,0
04/01/2022,11:13:27,97.89,0,1
04/01/2022,11:16:41,97.8,5,0
04/01/2022,11:17:08,97.84,5,0
04/01/2022,11:19:14,97.91,5,0
04/01/2022,11:21:48,97.87,4,0
04/01/2022,11:21:51,97.88,5,0
04/01/2022,11:22:02,97.83,2,0
04/01/2022,11:22:40,97.81,2,0
04/01/2022,11:24:48,97.92,5,0
04/01/2022,11:25:46,97.94,3,0
04/01/2022,11:26:32,97.91,2,0
04/01/2022,11:27:43,97.88,1,0
04/01/2022,11:31:32,97.96,4,0
04/01/2022,11:31:34,97.97,3,0
04/01/2022,11:33:05,97.97,4,0
04/01/2022,11:34:33,98.05,4,0
04/01/2022,11:36:08,97.95,2,0
04/01/2022,11:36:17,97.95,0,5
04/01/2022,11:36:21,97.97,0,5
04/01/2022,11:36:38,97.94,4,0
04/01/2022,11:39:55,98.04,2,0
04/01/2022,11:40:06,98.02,2,0
04/01/2022,11:40:15,98,0,5
04/01/2022,11:41:08,98.03,0,5
04/01/2022,11:41:21,98.02,5,0
04/01/2022,11:42:29,97.98,1,0
04/01/2022,11:42:55,97.97,0,5
04/01/2022,11:43:48,97.99,3,0
04/01/2022,11:44:50,98.06,5,0
04/01/2022,11:46:58,98.1,3,0
04/01/2022,11:47:23,98.06,0,4
04/01/2022,11:47:44,98.04,5,1
04/01/2022,11:48:02,98.03,5,0
04/01/2022,11:50:34,98.02,2,0
04/01/2022,11:51:00,98.04,0,5
04/01/2022,11:51:56,98.08,2,5
04/01/2022,11:52:04,98.1,0,5
04/01/2022,11:52:09,98.1,4,0
04/01/2022,11:52:30,98.09,0,5
04/01/2022,11:53:06,98.13,4,0
04/01/2022,11:53:29,98.1,3,0
04/01/2022,11:53:34,98.12,3,0
04/01/2022,11:53:37,98.12,1,0
04/01/2022,11:54:21,98.12,4,0
04/01/2022,11:56:03,98.16,0,2
04/01/2022,11:56:14,98.13,4,0
04/01/2022,11:56:27,98.14,3,0
04/01/2022,11:57:20,98.13,1,0
04/01/2022,11:57:38,98.09,0,5
04/01/2022,11:57:46,98.11,1,0
04/01/2022,11:58:19,98.11,4,0
04/01/2022,11:59:20,98.11,1,0
04/01/2022,12:00:20,98.11,1,0
04/01/2022,12:02:09,98.07,2,0
04/01/2022,12:03:45,98.08,4,0
04/01/2022,12:05:14,98.09,0,5
04/01/2022,12:05:47,98.13,4,0
04/01/2022,12:05:53,98.16,0,5
04/01/2022,12:06:29,98.17,0,5
04/01/2022,12:06:54,98.14,2,1
04/01/2022,12:07:09,98.13,3,0
04/01/2022,12:07:13,98.17,2,0
04/01/2022,12:09:35,98.17,0,5
04/01/2022,12:09:48,98.18,4,0
04/01/2022,12:10:28,98.22,4,0
04/01/2022,12:11:04,98.22,4,5
04/01/2022,12:11:57,98.21,3,0
04/01/2022,12:12:03,98.21,5,0
04/01/2022,12:12:05,98.2,5,0
04/01/2022,12:12:59,98.18,4,0
04/01/2022,12:14:17,98.16,0,2
